# http://fitlayout.github.io/resource/art68 -> https://www.imdb.com/title/tt2661044/fullcredits/
character=Scar	name=Jason Bell	episodes=1 episode, 2020 	
character=Other Tech	name=Dalias Blake	episodes=1 episode, 2014 	
character=Guard	name=Mike Klemak	episodes=1 episode, 2014 	
character=Woman	name=Kate Bateman	episodes=1 episode, 2014 	
character=Volunteer	name=Troy Everett	episodes=1 episode, 2014 	
character=Lead Guard	name=Todd Mann	episodes=1 episode, 2015 	
character=Ivon	name=Noah Dalton Danby	episodes=1 episode, 2016 	
character=Sentry	name=Craig Blair	episodes=1 episode, 2016 	
character=Lexa	name=Craig Blair	episodes=1 episode, 2016 	
character=Woman With Infinity Hair	name=Eleanor Hall	episodes=1 episode, 2016 	
character=Azgeda Warrior	name=Jason William Day	episodes=1 episode, 2017 	
character=Trikru Warrior	name=Shayn Walker	episodes=1 episode, 2017 	
character=Dragged Dead Grounder	name=John Ulmer	episodes=1 episode, 2017 	
character=Shallow Valley Ambassador	name=Sandra Dario	episodes=1 episode, 2017 	
character=Nash	name=Michael Patric	episodes=1 episode, 2018 	
character=Rabe	name=Mike Kovac	episodes=1 episode, 2018 	
character=Dead Male Defector	name=Ian David Nsenga	episodes=1 episode, 2018 	
character=Dexter	name=Daryl Ducharme	episodes=1 episode, 2018 	
character=Triumphant Grounder	name=Mikael Vierge	episodes=1 episode, 2018 	
character=Prisoner 	name=David Coles	episodes=1 episode, 2018 	
character=Kuba 	name=David Coles	episodes=1 episode, 2018 	
character=Faye	name=Beatrice King	episodes=1 episode, 2019 	
character=Eriko	name=Christin Park	episodes=1 episode, 2020 	
character=Cora	name=Parmiss Sehat	episodes=1 episode, 2020 	
character=Child	name=Dalila Bela	episodes=1 episode, 2014 	
character=Young Member of The 100	name=Quinn Lord	episodes=1 episode, 2014 	
character=Reaper	name=Michael Adamthwaite	episodes=1 episode, 2014 	
character=Brixton Guard	name=Serge Jaswal	episodes=1 episode, 2014 	
character=Hard Looking Girl	name=Joleigh Schultz	episodes=1 episode, 2014 	
character=Mt. Weather Soldier	name=Jaime M. Callica	episodes=1 episode, 2015 	
character=Little Boy Lovejoy	name=Liam O	episodes=1 episode, 2015 	
character=Little Boy Lovejoy	name=Neill	episodes=1 episode, 2015 	
character=Ice Nation Ambassador	name=Link Baker	episodes=1 episode, 2016 	
character=Man	name=Ryan Hesp	episodes=1 episode, 2016 	
character=Gavriel	name=Michael Strusievici	episodes=1 episode, 2016 	
character=Polis Sentry	name=Patrick Sparling	episodes=1 episode, 2016 	
character=Grizzled Warrior	name=Charles Zuckermann	episodes=1 episode, 2017 	
