# http://fitlayout.github.io/resource/art7 -> https://www.imdb.com/title/tt0098904/fullcredits/
character=Gillian	name=Kristin Bauer van Straten	episodes=1 episode, 1996 	
character=Wig Master	name=Patrick Bristow	episodes=1 episode, 1996 	
character=Todd Gack	name=John D	episodes=1 episode, 1996 	
character=Todd Gack	name=Aquino	episodes=1 episode, 1996 	
character=Brody	name=Neil Giuntoli	episodes=1 episode, 1996 	
character=Dr. Abbott	name=Robert Wagner	episodes=1 episode, 1997 	
character=Shellbach	name=Ben Stein	episodes=1 episode, 1997 	
character=Hal Kitzmiller	name=Vince Grant	episodes=1 episode, 1997 	
character=Cindy	name=Angela Featherstone	episodes=1 episode, 1998 	
character=Lisi	name=Julia Campbell	episodes=1 episode, 1998 	
character=Cabbie	name=Dayton Callie	episodes=1 episode, 1998 	
character=Maura	name=Alex Kapp	episodes=1 episode, 1998 	
character=Rick	name=Daniel Hagen	episodes=1 episode, 1998 	
character=Diane	name=Kimberley Kates	episodes=1 episode, 1990 	
character=Waitress	name=Jill C. Klein	episodes=1 episode, 1990 	
character=Isabel	name=Tawny Kitaen	episodes=1 episode, 1991 	
character=Attendant	name=John Fleck	episodes=1 episode, 1991 	
character=Lorraine	name=Judy Kain	episodes=1 episode, 1991 	
character=Raymond	name=Jeff Lester	episodes=1 episode, 1991 	
character=Roxanne	name=Jeanine Jackson	episodes=1 episode, 1991 	
character=Customer	name=Suanne Spoke	episodes=1 episode, 1991 	
character=Manager	name=John Del Regno	episodes=1 episode, 1991 	
character=Assistant	name=James Lashly	episodes=1 episode, 1991 	
character=Mr. Lippman	name=Harris Shore	episodes=1 episode, 1991 	
character=Evie	name=Bridget Sienna	episodes=1 episode, 1991 	
character=Owen March	name=Edward Penn	episodes=1 episode, 1991 	
character=Manya	name=Rozsika Halmos	episodes=1 episode, 1991 	
character=Patti	name=Bobbi Jo Lathan	episodes=1 episode, 1991 	
character=Attendant 	name=Kelly Wellman	episodes=1 episode, 1991 	
character=Man in Corvette	name=Gregory T. Daniel	episodes=1 episode, 1991 	
character=Biker	name=Eric Allan Kramer	episodes=1 episode, 1992 	
character=Attendant 	name=Jim J. Bullock	episodes=1 episode, 1992 	
character=Woman With Elaine	name=Rhoda Gemignani	episodes=1 episode, 1992 	
character=Chaffeur	name=Jeremy Roberts	episodes=1 episode, 1992 	
character=Leonard West	name=Richard Venture	episodes=1 episode, 1992 	
character=Chelsea	name=Debi A. Monahan	episodes=1 episode, 1992 	
character=Joyce	name=Ilana Levine	episodes=1 episode, 1992 	
character=Michael	name=Joseph Malone	episodes=1 episode, 1992 	
character=D	name=Bill Applebaum	episodes=1 episode, 1992 	
character=Giff	name=Bill Applebaum	episodes=1 episode, 1992 	
character=Mr. Reichman	name=Ross Evans	episodes=1 episode, 1992 	
character=Ron	name=Tobin Bell	episodes=1 episode, 1993 	
character=Gail Cunningham	name=Anita Barone	episodes=1 episode, 1993 	
character=Carl	name=Nick Bakay	episodes=1 episode, 1993 	
character=Ray	name=Richard Portnow	episodes=1 episode, 1993 	
character=Tough Guy	name=Tom Towles	episodes=1 episode, 1993 	
character=Gwen	name=Linda Kash	episodes=1 episode, 1993 	
character=Older Priest	name=Kay E. Kuter	episodes=1 episode, 1993 	
character=Joel Rifkin	name=Anthony Cistaro	episodes=1 episode, 1993 	
character=Gino	name=David Ciminello	episodes=1 episode, 1993 	
character=Stan	name=Tom Alan Robbins	episodes=1 episode, 1993 	
character=Ticket Clerk 	name=Carol Rosenthal	episodes=1 episode, 1993 	
character=Kernis	name=Tom La Grua	episodes=1 episode, 1993 	
character=Jane	name=Melora Walters	episodes=1 episode, 1994 	
character=Lois	name=Renee Props	episodes=1 episode, 1994 	
character=Katya	name=Elina Löwensohn	episodes=1 episode, 1994 	
character=Karen	name=Marguerite MacIntyre	episodes=1 episode, 1994 	
character=Stationer	name=Jerry Levine	episodes=1 episode, 1994 	
character=David	name=Mark Holton	episodes=1 episode, 1994 	
character=Simon	name=Daniel Gerroll	episodes=1 episode, 1994 	
character=Mom	name=Elsa Raven	episodes=1 episode, 1994 	
character=Ronnie Kaye	name=Dom Irrera	episodes=1 episode, 1994 	
character=Daphne	name=Karla Tamburrelli	episodes=1 episode, 1994 	
character=Willie	name=Joseph R. Sicari	episodes=1 episode, 1994 	
character=Billy	name=Scott Patterson	episodes=1 episode, 1995 	
character=Sheila	name=Alexandra Wentworth	episodes=1 episode, 1995 	
character=Bonnie	name=Jessica Tuck	episodes=1 episode, 1995 	
character=Holly	name=Stacey Travis	episodes=1 episode, 1995 	
character=Clayton	name=Leon Russom	episodes=1 episode, 1995 	
character=Haarwood	name=Eric Christmas	episodes=1 episode, 1995 	
character=Alec Berg	name=Mark DeCarlo	episodes=1 episode, 1995 	
character=Usher	name=Kelly Perine	episodes=1 episode, 1995 	
character=Ruby	name=June Kyoto Lu	episodes=1 episode, 1995 	
character=Captain	name=Wayne Tippit	episodes=1 episode, 1995 	
character=Mr. Lager	name=Stephen Root	episodes=1 episode, 1996 	
character=Mr. Oh	name=Gedde Watanabe	episodes=1 episode, 1996 	
character=Anna	name=Rebecca McFarland	episodes=1 episode, 1996 	
character=Ken	name=Ken Hudson Campbell	episodes=1 episode, 1996 	
character=Craig	name=Harry Van Gorkum	episodes=1 episode, 1996 	
character=Bizarro Kramer	name=Pat Kilbane	episodes=1 episode, 1996 	
character=Dr. Berg	name=Richard Roat	episodes=1 episode, 1996 	
character=Seth	name=Mark Roberts	episodes=1 episode, 1996 	
character=Mario	name=Peter Allas	episodes=1 episode, 1996 	
character=Valerie	name=Lauren Graham	episodes=1 episode, 1997 	
character=Sam	name=Molly Shannon	episodes=1 episode, 1997 	
character=Patty	name=Lori Loughlin	episodes=1 episode, 1997 	
