# http://fitlayout.github.io/resource/art40 -> https://www.imdb.com/title/tt0944947/fullcredits/
character=Dornish Prince	name=Toby Osmond	episodes=1 episode, 2019 	
character=Northerner in Alley	name=Oliver Devoti	episodes=1 episode, 2019 	
character=Jhiqui	name=Sarita Piotrowski	episodes=1 episode, 2011 	
character=Baratheon Officer	name=Kieran Cunningham	episodes=1 episode, 2012 	
character=Melessa Tarly	name=Samantha Spiro	episodes=1 episode, 2016 	
character=Northman Rider	name=David Birkbeck	episodes=1 episode, 2016 	
character=Winterfell Local	name=Briege Roche	episodes=1 episode, 2017 	
character=Riverlands Lord	name=Andrew Bicknell	episodes=1 episode, 2019 	
character=Lannister Soldier	name=Jim Tighe	episodes=1 episode, 2019 	
character=Will	name=Bronson Webb	episodes=1 episode, 2011 	
character=Captain of the Archers	name=Michael Grennell	episodes=1 episode, 2012 	
character=Lord of Bones	name=Ross O	episodes=1 episode, 2015 	
character=Lord of Bones	name=Hennessy	episodes=1 episode, 2015 	
character=Northman Archer	name=Paul Garrett	episodes=1 episode, 2016 	
character=Stark Soldier	name=Eamonn Keenan	episodes=1 episode, 2017 	
character=Lord Une	name=Michael Benbaruk	episodes=1 episode, 2019 	
character=Jon Arryn	name=John Standing	episodes=1 episode, 2011 	
character=Mycah	name=Rhodri Hosking	episodes=1 episode, 2011 	
character=Mero	name=Mark Killeen	episodes=1 episode, 2013 	
character=Vale Lord	name=Frank Jakeman	episodes=1 episode, 2019 	
character=Lannister Soldier	name=Luke McQuillan	episodes=1 episode, 2019 	
character=Waymar Royce	name=Rob Ostlere	episodes=1 episode, 2011 	
character=Prendahl na Ghezn	name=Ramon Tikaram	episodes=1 episode, 2013 	
character=Goatherd	name=Philip Arditti	episodes=1 episode, 2014 	
character=Northern Lord	name=Niall Bishop	episodes=1 episode, 2019 	
character=King	name=Nicky Harley	episodes=1 episode, 2019 	
