# http://fitlayout.github.io/resource/art59 -> https://www.imdb.com/title/tt2306299/fullcredits/
character=Old Woman	name=Aine Hayden	episodes=1 episode, 2019 	
character=Sylvi	name=Sandy Kennedy	episodes=1 episode, 2019 	
character=Wife of Drunk	name=Gail Brady	episodes=1 episode, 2020 	
character=Earl 1	name=Fiona McGeown	episodes=1 episode, 2020 	
character=Peasant Woman	name=Deirdre Mullins	episodes=1 episode, 2013 	
character=Blacksmith	name=Carolyn Murray	episodes=1 episode, 2013 	
character=Daughter	name=Carolyn Murray	episodes=1 episode, 2013 	
character=Female Servant 	name=Michelle Beamish	episodes=1 episode, 2013 	
character=Warrior	name=Mark Fitzgerald	episodes=1 episode, 2014 	
character=Saxon 	name=Conor Marren	episodes=1 episode, 2014 	
character=Bell Monk	name=Fionn Foley	episodes=1 episode, 2014 	
character=Monk	name=Sean Duggan	episodes=1 episode, 2015 	
character=Tower Sentry	name=Brien	episodes=1 episode, 2015 	
character=Tower Sentry	name=Colm O	episodes=1 episode, 2015 	
character=Midwife	name=Eva Bartley	episodes=1 episode, 2015 	
character=Guard	name=Dave Rowe	episodes=1 episode, 2016 	
character=Frankish Farmer	name=Luke Pierucci	episodes=1 episode, 2016 	
character=Frankish Officer	name=Ian Meehan	episodes=1 episode, 2016 	
character=Saxon Scout	name=Richard McWilliams	episodes=1 episode, 2017 	
character=Aelle	name=Rob Walsh	episodes=1 episode, 2017 	
character=Cleric	name=Rob Walsh	episodes=1 episode, 2017 	
character=First Woman	name=Alicia Gerrard	episodes=1 episode, 2019 	
character=Moneylender	name=Shane Lynch	episodes=1 episode, 2020 	
character=Kattegonian	name=Stephen Cromwell	episodes=1 episode, 2020 	
character=Rus Captain	name=Chris Powell	episodes=1 episode, 2020 	
character=Floki	name=Amber Jean Rowan	episodes=1 episode, 2013 	
character=Slave Girl	name=Amber Jean Rowan	episodes=1 episode, 2013 	
character=Female Servant 	name=Hilary Rose	episodes=1 episode, 2013 	
character=Slave Girl	name=Roanna Cochrane	episodes=1 episode, 2013 	
character=Saxon Warrior 	name=Gairbhi	episodes=1 episode, 2013 	
character=Saxon Warrior 	name=Cillian O	episodes=1 episode, 2013 	
character=Young Man	name=Rudi Kennedy	episodes=1 episode, 2013 	
character=Messenger	name=James Browne	episodes=1 episode, 2014 	
character=Older Man	name=Derry Power	episodes=1 episode, 2014 	
character=Monk	name=Chris Gallagher	episodes=1 episode, 2014 	
character=Blind Driver	name=Brendan Conroy	episodes=1 episode, 2016 	
character=Frankish Farmer	name=Ross McKinney	episodes=1 episode, 2016 	
character=Aethegyth	name=India Mullen	episodes=1 episode, 2017 	
character=Widow Ordlaf	name=Tamaryn Payne	episodes=1 episode, 2017 	
character=Slave	name=Nathan Hughes	episodes=1 episode, 2017 	
character=Crowbone	name=Ben McKeown	episodes=1 episode, 2019 	
character=Second Woman	name=Deborah Wiseman	episodes=1 episode, 2019 	
character=Herigar	name=Ronan Summers	episodes=1 episode, 2020 	
character=Rus Sentry 1	name=Gary Kane	episodes=1 episode, 2020 	
character=Village Elder	name=Michael Judd	episodes=1 episode, 2020 	
character=Rus Officer 	name=Daniel Paton	episodes=1 episode, 2020 	
character=Earl 2	name=Cathal Sheahan	episodes=1 episode, 2020 	
character=Saxon Warrior 	name=Andy Kellegher	episodes=1 episode, 2013 	
character=Grim Giantess	name=Alexis Forbes	episodes=1 episode, 2013 	
character=Bishop Swithern	name=Edmund Kente	episodes=1 episode, 2014 	
character=Messenger	name=Aonghus Og McAnally	episodes=1 episode, 2015 	
character=Wife	name=Gwynne McElveen	episodes=1 episode, 2016 	
character=Farmer	name=Gwynne McElveen	episodes=1 episode, 2016 	
character=Female Slave	name=Lauren Farrell	episodes=1 episode, 2017 	
character=Victim	name=Lorena Weldon	episodes=1 episode, 2017 	
character=Bjorn	name=Lorena Weldon	episodes=1 episode, 2017 	
character=First Saxon Boy	name=Jake O	episodes=1 episode, 2017 	
character=First Saxon Boy	name=Loughlin	episodes=1 episode, 2017 	
character=Commanding Officer	name=Gabriel Constantin	episodes=1 episode, 2020 	
character=Aoife	name=Emma Eliza Regan	episodes=1 episode, 2020 	
character=Rus Officer 	name=Steven Blades	episodes=1 episode, 2020 	
character=Blind Beggar	name=Bobby McGlynn	episodes=1 episode, 2020 	
character=Rus Guard	name=Renars Latkovskis	episodes=1 episode, 2020 	
character=Rus Sentry 2	name=Luke McQuillan	episodes=1 episode, 2020 	
character=Saxon Priest	name=Simon Coury	episodes=1 episode, 2013 	
character=Haraldson Kinsman	name=Dez McMahon	episodes=1 episode, 2013 	
character=King Brihtwulf	name=Ian Beattie	episodes=1 episode, 2015 	
character=Injured Noble	name=Brian Fortune	episodes=1 episode, 2015 	
character=Thorhall	name=Adam McNamara	episodes=1 episode, 2016 	
character=Gudmund	name=Liam Clarke	episodes=1 episode, 2016 	
character=Saxon Woman	name=Olga Wehrly	episodes=1 episode, 2017 	
character=Second Saxon Boy	name=Ben Smith-Short	episodes=1 episode, 2017 	
character=Aldwin	name=Jamie Maclachlan	episodes=1 episode, 2019 	
