# http://fitlayout.github.io/resource/art28 -> https://www.imdb.com/title/tt2654620/fullcredits/
character=Facilitator 	name=Billy Parrott	episodes=1 episode, 2015 	
character=Janitor	name=Paloma Nuñez	episodes=1 episode, 2015 	
character=Wife	name=Paloma Nuñez	episodes=1 episode, 2015 	
character=Dylan	name=Dan Warry-Smith	episodes=1 episode, 2015 	
character=Bus Driver	name=Sistah Lois	episodes=1 episode, 2015 	
character=Chris	name=Roland Greber	episodes=1 episode, 2015 	
character=Blind Girl 	name=Elle MacGregor	episodes=1 episode, 2015 	
character=James	name=Martin Roach	episodes=1 episode, 2016 	
character=Dr. Amanda Edmondson	name=Janaya Stephens	episodes=1 episode, 2016 	
character=New Yorker	name=Carmine Lucarelli	episodes=1 episode, 2016 	
character=Ross	name=David Ingram	episodes=1 episode, 2017 	
character=Abby	name=Adam Peddle	episodes=1 episode, 2017 	
character=Boyfriend	name=Adam Peddle	episodes=1 episode, 2017 	
character=Emily	name=David Petrie	episodes=1 episode, 2017 	
character=Father	name=David Petrie	episodes=1 episode, 2017 	
character=Faran	name=Shamus Fynes	episodes=1 episode, 2017 	
character=Carlo	name=Alex Mallari Jr.	episodes=1 episode, 2014 	
character=Air Traffic Controller	name=Dov Tiefenbach	episodes=1 episode, 2014 	
character=Foster	name=Matthew Bennett	episodes=1 episode, 2014 	
character=Wilson	name=Steve Whistance-Smith	episodes=1 episode, 2014 	
character=Prisoner 	name=Matthew Paul Gonzales	episodes=1 episode, 2014 	
character=Benjy Barbour	name=Evan Robinson	episodes=1 episode, 2014 	
character=Medical Officer	name=Chris Owens	episodes=1 episode, 2015 	
character=Rudyard Fonescu	name=Christian Distefano	episodes=1 episode, 2015 	
character=NYPD Officer 	name=Matthew G. Brown	episodes=1 episode, 2015 	
character=General Dean Rushing	name=Brian Paul	episodes=1 episode, 2015 	
character=Facilitator 	name=Aviva Armour-Ostroff	episodes=1 episode, 2015 	
character=Blind Girl 	name=Ava MacGregor	episodes=1 episode, 2015 	
character=Chivo	name=Joseph Recinos	episodes=1 episode, 2015 	
character=Raul	name=Bobby Manning	episodes=1 episode, 2016 	
character=Harvey	name=Marvin Kaye	episodes=1 episode, 2017 	
character=Sailor 	name=Jonathan Goldapple	episodes=1 episode, 2017 	
character=Det. Marc Weber	name=Lindsay Owen Pierre	episodes=1 episode, 2014 	
character=Hazmat Worker	name=Matthew Lemche	episodes=1 episode, 2014 	
character=Barclay	name=Sofia Wells	episodes=1 episode, 2014 	
