# http://fitlayout.github.io/resource/art63 -> https://www.imdb.com/title/tt0106179/fullcredits/
character=Burly Nurse	name=Beatrice Zeilinger	episodes=2 episodes, 1995 	
character=Clinician 	name=John Trottier	episodes=2 episodes, 1996-1998 	
character=Michael Sloan	name=Tom Scholte	episodes=2 episodes, 1996-1997 	
character=Doctor	name=Brent Sheppard	episodes=2 episodes, 1996-1997 	
character=Dark Man	name=David Palffy	episodes=2 episodes, 1997 	
character=Doctor	name=Oliver Becker	episodes=2 episodes, 1995 	
character=Agent Hedin	name=Nancy Kerr	episodes=2 episodes, 1997-1998 	
character=Elder 	name=Frank Ertl	episodes=2 episodes, 1999 	
character=Customer 	name=Maria Herrera	episodes=2 episodes, 1993-1996 	
character=Joan Gauthier	name=Kimberly Unger	episodes=2 episodes, 1993-1996 	
character=Mother	name=Kathleen Duborg	episodes=2 episodes, 1994-1995 	
character=Joseph Patnik	name=Linden Banks	episodes=2 episodes, 1995-1996 	
character=Dark Suited Man 	name=Stephen Mendel	episodes=2 episodes, 1997 	
character=Pilot	name=Mark Wilson	episodes=2 episodes, 1997 	
character=Gary	name=Eddie Kaye Thomas	episodes=2 episodes, 2000-2001 	
character=Secretary	name=Jo-Ann Dean	episodes=2 episodes, 2000 	
character=Dr. Lim	name=Nelson Mashita	episodes=2 episodes, 2001 	
character=Arlan Green	name=André Daniels	episodes=2 episodes, 1994 	
character=Landlord	name=Marty Zagon	episodes=2 episodes, 1999-2000 	
character=Guard 	name=Joe Maffei	episodes=2 episodes, 1993-1996 	
character=Deputy	name=Bobby Stewart	episodes=2 episodes, 1994-1996 	
character=Reporter 	name=Leah Sanders	episodes=2 episodes, 2000-2002 	
character=Homeless Man	name=Gerry Rousseau	episodes=2 episodes, 1994-2018 	
character=News Anchor	name=Rick Garcia	episodes=2 episodes, 1999-2002 	
character=Young Dana Scully	name=Tegan Moss	episodes=2 episodes, 1994-1996 	
character=Lobby Guard	name=Ernie Foort	episodes=2 episodes, 1995-1996 	
character=Camouflage Man	name=Mitchell Davies	episodes=2 episodes, 1995 	
character=Cashier	name=James Yaker	episodes=2 episodes, 1998 	
character=Michelle Charters	name=Teryl Rothery	episodes=1 episode, 1994-2002 	
character=Police Officer	name=Jason Gray-Stanford	episodes=1 episode, 1993-2018 	
character=Iskendarian	name=Bob Dawson	episodes=1 episode, 1996-1998 	
character=Detective Joe Darnell	name=Robyn Driscoll	episodes=1 episode, 1994-1995 	
character=Angry Husband	name=Paul McGillion	episodes=1 episode, 1994-1997 	
character=Charlie Morris	name=Jonathan Walker	episodes=1 episode, 1994-1997 	
character=OPO Staffer	name=Ellie Harvie	episodes=1 episode, 1994-1996 	
character=Doctor	name=David Kaye	episodes=1 episode, 1994-1996 	
